Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Intellectual Ventures
3.3",-1,2000,"Bellevue, WA",Investment Banking & Asset Management,"Job Description

The Cooking Lab is the publisher of both Modernist Cuisine: The Art and Science of Cooking (2011) and Modernist Cuisine at Home (2012). Our interdisciplinary team in Bellevue, Washington includes scientists, development chefs, and a full editorial department, as well as business and marketing staff—all dedicated to advancing the state of the culinary arts through the creative application of scientific knowledge and experimental techniques. In addition to our award-winning Modernist Cuisine books, The Cooking Lab provides consulting, R & D, and invention services to food companies and culinary equipment makers, large and small. Our research laboratory in Bellevue includes one of the best equipped kitchens in the world as well as access to a full set of machining, analytical, and computational facilities, provided by the Intellectual Ventures Lab.

The Cooking Lab is looking for a Data Scientist to join their journey to understand food and cooking. In addition to its primary research, MC is very interested in analyzing the received wisdom of recipes from around the world and over time. The Data Scientist will be responsible for leading an audacious effort to catalog, ingest, and analyze the world's pastry recipes.

The Data Scientist will apply computer vision, OCR, natural language processing, and other techniques to transform formatted recipes into structured data. He or she will lead further development of our pipeline for tagging unstructured data to train machine learning algorithms to identify new recipes. Then, he or she will perform analysis on the resulting structured data to answer specific questions about the data. For instance, ""What is the distribution of baking temperatures recommended for a croissant?"" Or, ""How has the amount of salt in chocolate chip cookie recipes varied over time?""

In addition to the recipe analysis responsibilities, the Data Scientist will work with the culinary team for a variety of other scientific analysis and visualization projects.

Responsibilities:
Expand our in-house framework for catalog of pastry recipes
Further develop our methodology for schematizing, codifying, and analyzing recipes
Implement processes, including human tagging, machine learning, and quality evaluation for codified recipes
Mine data for useful insights and storytelling
Support culinary team in scientific analysis and visualization projects
Key Qualifications and Required Skills:
Experience with natural language processing and machine learning
Proficiency in software development (.NET, C/C++, Python, Java)
Ability to design data processing pipelines, storage structures, and automation for both on-premise and cloud computing environments
Experience with extraction, transformation, and loading (ETL) of large datasets for ad-hoc analysis in Excel, Matlab, or other packages
Familiarity with computer vision and OCR software
Passion for cooking, culinary history, or culinary science a plus
We are an equal opportunity employer",Data Scientist,"Bellevue, WA",3.3,Unknown / Non-Applicable,$85K-$135K (Glassdoor est.),Finance,501 to 1000 employees,Company - Private
"ManTech
4.1",-1,1968,"Herndon, VA",Research & Development,"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",Data Scientist,"Chantilly, VA",4.1,$1 to $2 billion (USD),$85K-$135K (Glassdoor est.),Business Services,5001 to 10000 employees,Company - Public
"Mars
3.9",-1,1911,"Mc Lean, VA",Food & Beverage Manufacturing,"JOB CATEGORY:

Information Services

REQUISITION NUMBER:

251340

Data Scientist

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Kinship’s Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of Pets and Pet Owners to not only power Kinship’s businesses but also influence the next great ideas in the Petcare space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, Pets, and Pet Owners. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply data science approaches to understand and predict pet and pet owner behaviors
Use machine learning techniques, visualizations, & statistical analysis to gain insight into various data sets – some readily available, and some you create and curate yourself
Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations
Support new pet technology businesses and partners by generating actionable insights from our data assets
Develop compelling stories that provide insight into the drivers of business performance and Pet/Pet Owner behavior
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are passionate about our mission: creating a better world for pets. For all of our Kinship roles, we look for candidates who exemplify our attributes through consistent behaviors. We believe what we do is just as important as how we do it, and we aim to hire people who are:
Optimistic. Those who’s boundlessly energy and enthusiasm for what’s next shines through in everything they do. We seek to work with people who are intrinsically happy, and who will drive our vision and purpose while managing the complexities of our businesses.
Purposefully Inquisitive. Those who are courageous and use their deep business insights to cultivate innovation. We want the trailblazers in tech. Those who are entrepreneurs at heart, ask the tough questions, adapt quickly to new situations, and analyze data in new ways to push our big ideas forward.
Open to All. Those who are inclusive leaders, committed to learning, and leveraging our differences as strengths. We hire people who are naturally collaborative and thrive in a flat and flexible organization. Those who are thoughtful communicators, and seek to foster meaningful relationships across our community of diverse partners.


And for this role, we hope you have the following skills we require to round out our team:

Exceptional written & verbal communication, coupled with critial thinking skills.
Truly inspired by, and want to live, our purpose of creating a better world for pets.
1+ years’ experience in a data science role handling varied and complex data
Proficiency in machine learning modeling and statistical thinking (random forest, decision trees, supervised and unsupervised modeling, etc.)
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Comfortable with ambiguity, with a passion for collaboration to achieve objectives
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience


If you also had these experiences, you’d knock it out of the dog park:

Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how models and systems work to both non-technical and technical stakeholders.
We want to understand what you're passionate about, the work you've done, and why you'd specifically like to work for Kinship. In order to be considered for this role, you must submit a cover letter and resume to Katelyn@Kinship.co. Candidates without a cover letter will not be considered.

WHY JOIN US?

We offer our associates a unique opportunity to have a completely customizable career within pet care. Through Kinship you will work with and learn from a community of industry executives, pet partners, entrepreneurs, and fellow associates across our startup investment companies, outside partners, and in Mars Petcare. Our nimble and flexible approach to work allows you to make an immediate impact across businesses, while learning new skills at every stage. The diversity of our work opens doors to big opportunities and unlocks enormous potential for countless career experiences in pet care. Join us in our mission to chart the future of pet care, alongside the industry’s brightest minds.

Kinship’s offices are global, and so are our associates. We are located in NYC, San Francisco, Portland, London, Helsinki, Shanghi, and in Moscow. Many of us flex between our dog-friendly hubs and our home offices. Today, Kinship offers exceptional benefits for you, your family, and your pets, generous paid time off, exponential opportunities to build a career within pet care, and progressive reward packages. Interested? Let’s take big strides, together.

Data Scientist

Job Segment:
Database, Scientific, Computer Science, Cloud, Statistics, Technology, Engineering, Data

Apply now »",Data Scientist,New York State,3.9,$10+ billion (USD),$85K-$135K (Glassdoor est.),Manufacturing,10000+ employees,Company - Private
"Balyasny Asset Management
3.8",-1,2001,"Chicago, IL",Investment Banking & Asset Management,"The Job Details are as follows:

OVERVIEW

Balyasny Asset Management is looking for an exceptional data scientist to work on a Financials Portfolio Management team on projects related to fundamental research, data analysis, and data-driven idea generation. This is an excellent opportunity to work on cutting-edge research at a leading hedge fund, offering hands-on experience at the intersection of fundamental investing and data analysis.

RESPONSIBILITIES
Collaborate with Portfolio Manager and team to brainstorm creative uses for data in the investment process
Identify, ingest and analyze cutting-edge alternative datasets
Conduct independent research on various new datasets and help develop actual trading strategies
Pinpoint trends, correlations and patterns in complicated data sets to provide custom solutions to management
Identify and analyze relevant industry metrics
Evaluate new coverage opportunities
Communicating with industry and sell-side contacts
Building and maintaining detailed models from scratch
QUALIFICATIONS & REQUIRMENTS
Bachelors/Masters degree in Computer Science, Engineering, Data Science, or a related field
Strong analytical and data processing skills (Python/SQL/Excel)
Proficient with data ETL and analysis (familiar with libraries like Pandas and NumPy)
Experience using machine learning solutions for data analytics
Knowledge of VB/Excel Macros, Tableau, web scraping tools, RPA software
Self-starter, results-driven attitude with a great desire to learn and ability to multitask and think outside of the box
Strong written and verbal communication skills, outstanding attention to detail and strong organization skills
Ability to explain technical concepts (programming/databases/stats) to non-technical audiences",Data Scientist - Financials Team,"San Francisco, CA",3.8,Unknown / Non-Applicable,$85K-$135K (Glassdoor est.),Finance,501 to 1000 employees,Company - Private
"Seismic
4.3",-1,2010,"San Diego, CA",Enterprise Software & Network Solutions,"About Seismic Data Team:

At Seismic, we’ve built and are continuing to improve the leading enterprise sales enablement platform to ensure that our clients globally distributed sales and partner teams have access to the right sales content at the right time.

We believe that the best way to delight our customers, both internal and external, is to make data-informed product decisions by digging deep into all of our business intelligence.


About the Job:

Seismic is on the lookout for experienced, creative, and dynamic Data Science talent to join and make a massive impact on our product and operations. In this role, you will collaborate with your team and Executive Engineering/Data leadership to sleuth through our proprietary data to help our teams and customers make better decisions. Make a Seismic-Shift and join our team!

Who You Are:
An experienced Data Scientist with a passion to dig deep and find trends that others may miss
Seen as an active contributor in the team problem-solving-process – you aren’t afraid to share your opinions in a low-ego manner
You enjoy solving challenging problems, all while having a blast with equally passionate and talented team members
You stay up-to-date with all trends in Data Science, you learn through podcasts, online articles, YouTube videos, and through your greater network of peers

What you will be doing:
Rapidly design and implement machine learning and data products that our enterprise customers and internal teams will use to make informed data-backed decisions
Run machine learning tests and experiments and fine-tune algorithms based on the results
Provide data insights back to the organization in an accessible and end-user friendly manner
Identify valuable data sources and automate collection processes
Collaborate with software engineers, data engineers, and fellow scientists to create the best solutions for our customers internally and externally
Work closely with stakeholders and contribute your suggestions to build optimal solutions
Be well versed in techniques such as statistical analysis, exploratory analysis, and predictive analysis
Implement algorithms with modern software development and delivery techniques
Remain up-to-date with the latest trends in data science and bring that knowledge to life in our products and analysis
Be flexible to handle other duties as assigned

What you’ll bring to the team:
Bachelor's degree in Computer or Data Science, Applied Mathematics, similar technical field of study, or equivalent practical experience
Minimum of 5 years of experience as a Data Scientist, Data Engineer, or Machine Learning Engineer
3-5 years of experience with Python and SQL as it pertains to Data Analytics / Data Mining
Deep familiarity with BI/Data tools such as Tableau, Spark, Snowflake, and Kubernetes
Familiarity with C#, Docker, Apache Kafka a plus!

What you’ll get from us:
Generous PTO, paid holidays and paid sick leave
Industry-leading Medical, Dental and Vision Plans
401(k) matching and equity stake
Flexible working hours and locations
Catered meals, healthy snacks and coffee bars
Seismic Cares volunteer program
#OneSeismic culture that celebrates wins, encourages autonomy, ownership, and transparency

About us:

Seismic, ranked as one of the best places to work by Inc. Magazine, is a rapidly growing Forbes Cloud 100 company and is emerging as the recognized category leader in sales enablement. Seismic unites marketing and sales teams in delivering the most compelling stories throughout a buyers’ journey. More than 600 customers rely on the world’s most powerful storytelling platform to connect the right buyer, with the right content, at the right time, every time. Seismic customers such as T. Rowe Price, IBM, American Express, PayPal, Rockwell Automation, and Quest Diagnostics are achieving higher win rates, larger deal sizes, and improved customer retention rates with our solution. Seismic recently achieved a billion-dollar valuation and was named to the 2019 Forbes Cloud 100.

Headquartered in San Diego and with more than 800 employees across the globe, Seismic is privately held and backed by investment firms General Atlantic, JMI Equity, Jackson Square Ventures, Lightspeed Venture Partners, and T. Rowe Price. Seismic also recently expanded its team and product portfolio with the acquisition of Percolate. Our board of directors is composed of several industry luminaries, including John Thompson, chairman of the board of directors for Microsoft.

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.",Data Scientist,"San Diego, CA",4.3,Unknown / Non-Applicable,$85K-$135K (Glassdoor est.),Information Technology,501 to 1000 employees,Company - Private
"AbleTo
4.3",-1,2008,"New York, NY",Health Care Services & Hospitals,"Overview
AbleTo is the leading provider of high quality, technology-enabled behavioral health care. AbleTo believes that everyone deserves access to high-quality care, and offers a suite of technology-enabled services to empower people to lead better lives through better mental health. A proprietary platform connects individuals with AbleTo highly trained licensed providers who deliver weekly sessions by phone or video supported by an integrated digital experience. Members also have access to mental health coaches, and digital support programs. Clinical best practices are leveraged across all services to ensure individuals are getting the care they need. Our outcomes-focused care is proven to improve depression and anxiety by over 50% on average, as demonstrated in several peer-reviewed studies. For patients with high-cost medical conditions, our clinically-tailored treatment is proven to reduce medical costs with care that empowers the patient to address their health needs. AbleTo partners with payers to make high-quality care accessible, affordable and convenient for millions of people to get the treatment they need.

Data & Analytics Team
The Data & Analytics team plays a key role at AbleTo, with objectives including: 1) support company operations; 2) scale data knowledge across organization; 3) act as internal data consultants; 4) identify and run high-impact analyses.
Under D&A team, there are four highly collaborative work teams: 1) the data engineering team ingests data received from clients and implements new clients and new data sources; 2) the data science team creates and improves predictive models to identify patients who could benefit from our programs; 3) the business insights team develops operational reports for different stakeholders to track company performance; 4) the advanced analytics team develops statistical studies to support business questions.
The Data Science team develops machine learning models to 1) identify patients who could benefit from our programs, 2) monitor and enhance models, and 3) build additional clinical models as needed.
As a member of Data Science team, you will
design and implement model features using administrative claims data, engagement data, and other data sources
build, improve, and assess the performance of predictive models
You will also work closely with a wide range of internal stakeholders and in-house experts:
You will help our Engagement team optimize prospective patient outreach
With our Clinical team, you will ensure the clinical domain knowledge is properly imbedded in our models
With our Advanced Analytics team, you will assist in estimating ROI of our programs
Members of the Data & Analytics team are:
Highly collaborative & greatly appreciated across the company
Focused on the success of the team and company
Both technically and strategically savvy, able to sift through large amounts of data
Focused on building well-designed solutions and preserving quality control
Willing to experiment with new tools / techniques

Technical Skills
Required:
High proficiency in Python (sklearn, pandas, numpy)
Machine learning experience such as XGBoost, Spark MLlib, and sklearn
Highly skilled in SQL
Experience with git
Preferred:
Experience with healthcare data is a plus
Some exposure to deep learning and NLP is a plus
Experience with Spark is a plus
Experience with the Google Cloud Platform is a plus
Some exposure to Agile Development, or Lean or Sixor Six Sigma would be valuable
Education / Experience
Ph.D. preferred, or a Master’s Degree with 1-2 years of work experience (preferred but not required) from a highly quantitative discipline (e.g., statistics, physics, computer science, electrical engineering, public health, economics / econometrics, etc.)
Solid knowledge of statistics. Previous experience in applying statistical concepts in business / policy / research settings
Direct hands-on experience in handling large-scale datasets, thoughtful feature engineering, and building new predictive models and pipelines
Good communication and presentation skills
Experience collaborating on code with other developers
Team player",Data Scientist,"New York, NY",4.3,$50 to $100 million (USD),$85K-$135K (Glassdoor est.),Health Care,51 to 200 employees,Company - Private
"Novartis
3.9",-1,1996,"Basel, Switzerland",Biotech & Pharmaceuticals,"Posting Title
Data Scientist / Machine Learning Expert

04-Feb-2020

Job ID
288341BR

Job Description
ONE Global Discovery Chemistry Community working across 7 disease areas at the Novartis Institutes for BioMedical Research (NIBR) is seeking a highly talented and motivated Data Scientist to join our Global Discovery Chemistry Department in Cambridge, MA. The successful candidate will join an energizing and collaborative research organization, working alongside colleagues who are committed to improving human health through the discovery of transformative medicines.

We are seeking a unique data scientist with the skills, experience and passion to extract new knowledge and disruptive insights from the large and rich body of data collected by one of the world’s leading pharmaceutical companies. You will be a member of our global Computer-Aided Drug Discovery (CADD) group, an interdisciplinary team of expert molecular modelers, cheminformaticians, and data scientists. Teamed up with domain experts from biology, chemistry and translational medicine, this is a unique opportunity to develop and apply cutting-edge machine learning technologies to uncover insights to real-world drug discovery problems and innovate paths to new medicines.

Your responsibilities include:
•Develop and implement methods for extracting patterns and correlations from both internal and external data sources using machine learning toolkits
•Develop workflows for conducting comparative analysis among Novartis’ diverse data sources as well as generalizing approaches developed in-house or externally.
•Enable open-source solutions for internal use and implement cutting-edge published scientific methods.
•Develop customized machine learning solutions including data querying and knowledge extraction.
•Interact and be part of interdisciplinary project teams to drive effective decision-making by mining and developing predictive models
•Develop new skills in the area of cheminformatics and drug discovery and leverage those to accelerate development of new machine learning algorithms
•Keep ahead of scientific literature and interact with internal and external scientists to integrate novel data science technologies

Minimum requirements
Education:

Advanced degree (M.Sc. or higher) in data science and machine learning, statistics, computer sciences, cheminformatics, mathematics, computational chemistry, computational biology, bioinformatics, or related field.

Minimum experience & skills:

•In-depth experience with modern and classical machine learning methods
•Strong statistical foundation with broad knowledge of supervised and unsupervised techniques
•Programming experience (preferred Python, R, C++) preferably in Linux and high-performance computing environments
•Good listener - strong, concise, and consistent written and oral communication
•Talent for communicating stories through data visualizations
•Proven ability to collaborate with others
•A passion for tackling challenging problems and developing creative solutions
•A drive for self-development with a focus on scientific know-how

Additional qualifications that will help in the role:
•Demonstrated impact using machine learning libraries, such as scikit-learn, PyTorch or similar in a cheminformatics context
•Hands on experience with data analysis software such as Spotfire, R-shiny or similar
•Working experience with open-source cheminformatics toolkits such as RDKit
•Working experience with source-code management systems such as Git/github/bitbucket
•Familiar with the foundational concepts in molecular biology, pharmacology or medicine. Working knowledge of medicinal chemistry and drug discovery is a plus

Why consider Novartis?

750 million. That’s how many lives our products touch. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

We are Novartis. Join us and help us reimagine medicine.

Job Type
Full Time

Country
USA

Work Location
Cambridge, MA

Functional Area
Research & Development

Division
NIBR

Business Unit
Global Discovery Chemistry

Employment Type
Regular

Company/Legal Entity
NIBRI

EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status.

Shift Work
No",Data Scientist / Machine Learning Expert,"Cambridge, MA",3.9,$10+ billion (USD),$85K-$135K (Glassdoor est.),Biotech & Pharmaceuticals,10000+ employees,Company - Public
"Liberty Mutual Insurance
3.3","Travelers, Allstate, State Farm",1912,"Boston, MA",Insurance Carriers,"Help shape the future of Data Science across Liberty!

As a technical member of the Office of Data Science (ODS), Enablement & Collaboration unit, you will work with a team of data science (DS) and machine learning (ML) experts to solve Liberty's most challenging data science problems.

The ODS was created to provide additional centralized support and expertise to DS teams across the global organization. Our projects focus on key areas of interest to multiple teams, bleeding edge research and experimentation, common tool development, and establishing best practices to ensure the scientific community at Liberty is well-positioned to rapidly meet the challenges of modern industry.

If you are interested in making an impact on an entire culture at a Fortune 100 company, the ODS is the place for you!

As a centralized group, our project scope is vast. Possible projects include:
Design new language models (NLP/NLU) to understand and build predictions or summaries from customer calls, claim notes, web chats, medical records, and beyond.
Detect property hazards from aerial imagery, customer photos, geospatial data, etc. using computer vision (CV).
Explore the advantages and limitations of privacy-preserving ML, to accelerate experimentation and better protect our customers' data.
Push the boundaries in fundamental experimentation to boost and augment small-sample or rare-event data, transfer learning, and similar techniques.
Engage in theoretical research in collaboration with MIT, via Liberty's investment in the MIT Quest for Intelligence, to shape the future of AI

Responsibilities:
Work on cross-functional R&D teams, including ODS and business-unit data scientists/analysts, doing hands on ML research in areas such as computer vision, natural language processing, interpretable ML, and privacy preserving ML.
Accelerate the deployment of reproducible ML models by helping the business set and apply current best practices, including the use of open source software, container-based or serverless cloud platforms, and self-service operating models.
Develop common DS/ML tools and infrastructure across the business.
Set the standards for statistical testing and experimental design, as well as other quality standards such as testing coverage, code review, etc. for data science
Work with product owners and business units across Liberty to identify new opportunities where the ODS can accelerate research and development of DS and ML tools and techniques
The actual internal level/grade for this role will depend on the candidate's overall experience and skill level.
Qualifications:
Bachelor's degree in Statistics, Economics, Computer Science, or any quantitative discipline with relevant work experience, required; advanced degree a definite plus.
Extensive experience analyzing data and a broad understanding of core statistical and ML techniques.
Demonstrated experience in deep learning, computer vision, natural language processing, and/or interpretable machine learning.
Demonstrated proficiency in R or Python required.
Possess strong analytical, strategic, project management, decision-making and problem-solving skills.
Demonstrated ability to perform high quality work both independently and collaboratively.
Benefits:
We value your hard work, integrity and commitment to positive change. In return for your service, it's our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits
Overview:
At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.
We're dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.","Data Scientist, Office of Data Science","Boston, MA",3.3,$10+ billion (USD),$85K-$135K (Glassdoor est.),Insurance,10000+ employees,Company - Private
"Pacific Northwest National Laboratory
3.8","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",1965,"Richland, WA",Energy,"*Organization and Job ID**
Job ID: 310781

Directorate: Earth & Biological Sciences

Division: Environmental Molecular Sciences

Group: Computing, Analytics & Modeling
*Job Description**
The Pacific Northwest National Laboratory (PNNL) and the Environmental Molecular Sciences Laboratory (EMSL) seeks a data scientist focused on data integration for predictive understanding of complex biological and environmental systems. The EMSL is a U.S. Department of Energy (DOE) Office of Science user facility that provides innovative and breakthrough experimental and computational science that addresses DOE Office of Biological and Environmental Research (BER) programs by providing access to more than 75 state-of-the-art instrumental and high-performance computing capabilities. EMSL users address some of the most important molecular-to-mesoscale challenges relevant to DOE missions. The candidate should have experience with or interest in scientific software development and management of scientific data in accordance with the FAIR principles. The position requires an ability and willingness to work with EMSL users to assist them in achieving their scientific objectives. The candidate must therefore be adept at collaborating with interdisciplinary technical teams through strong communication, interpersonal, and data science skills and experience in addition to be willing to assist domain-expert researchers with a variety of research interests. The candidate will also contribute to research in areas important to EMSL and PNNL.

Job Description:

+ Designs, develops, and implements methods, processes, and systems to analyze diverse data. Applies knowledge of statistics, machine learning, advanced mathematics, simulation, software development, and data modeling to integrate and clean data, recognize patterns, address uncertainty, pose questions, and make discoveries from structured and/or unstructured data. Produces solutions driven by exploratory data analysis from complex and high-dimensional datasets. Designs, develops, and evaluates predictive models and advanced algorithms that lead to optimal value extraction from the data. Demonstrates ability to transfer skills across application domains.

+ Contribute to a research program in data science applied to the biological or environmental sciences, developing data analysis and integration approaches for omics or imaging data.

+ Collaborate with researchers on the development and innovative application of advanced simulation, data analysis, visual analytics, or other computational techniques to research problems relevant to DOE-BER missions where computational approaches are significant.

Discipline, principal job duties/expectations, and qualitative and quantitative measures of performance that exceed the Functional Descriptor:

+ Selects and develops technical approaches on assignments with occasional oversight on complex problems. Principal investigator or co-PI on projects or tasks, while integrating capabilities of work team members. Supports scoping, scheduling, and budgeting at a project or major task level. Generates new ideas for proposals and business development opportunities while leading development of technical section of small to medium proposals.
*Minimum Qualifications**
+ BS/BA with 5 years of experience, or

+ MS/MA with 3 years of experience, or

+ PhD with 1 year of experience
*Preferred Qualifications**
+ Degree in Computational Biology, Applied Mathematics, Statistics, Computer Science, or related field.

+ Experience in evaluation/application of new algorithms and implementations for the biological or environmental sciences.

+ Experience in data management and scientific application processing, including data warehousing, workflow development, and automation.

+ Experience participating in domain-science software development teams.

+ Research experience in theory or methods in areas such as bioinformatics, data science, computer science, or computational chemistry.
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
_Directorate:_ _Earth & Biological Sciences_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Comput Analytics & Modeling_

_Opening Date:_ _2020-04-23_

_Closing Date:_ _2020-05-23_",Data Scientist,"Richland, WA",3.8,$500 million to $1 billion (USD),$85K-$135K (Glassdoor est.),"Oil, Gas, Energy & Utilities",1001 to 5000 employees,Government
"Strivr
4.6",-1,2015,"Palo Alto, CA",Computer Hardware & Software,"At the intersection of technology, science, business and sports, Strivr offers an end-to-end, VR-based immersive learning platform that changes the way people around the world train, learn and perform. With a mission to elevate performance through immersive experience, we are redefining an industry in real time and shaping the future of learning.

Strivr was founded in 2015 out of Stanford University’s Virtual Human Interaction Lab, using the football field as our proving ground. Since then, we have quickly expanded from the athlete to the enterprise, partnering with leading Fortune 500 companies including Walmart, Verizon and Fidelity to innovate and elevate employee development.

More than just content inside a headset, immersive learning provides realistic, high-impact experiences driven by L&D experts, instructional designers, data scientists, and immersive content specialists. Strivr offers the only end-to-end solution available today, bringing together the software, hardware, content and services needed to deliver effective training at scale.

Recognized by Fast Company’s Most Innovative Companies for 2019, we take pride in our passion for innovation and we use that energy to fuel our work. Our culture thrives on teamwork, grit, transparency and impact, and celebrates every win. It’s an exciting time to join our fast growing team!

At Strivr, our Data Science team develops cutting-edge techniques to improve people’s performance in the real world based on their experiences in the virtual world. As a Data Scientist at Strivr, you will be at the forefront of defining approaches to Immersive Data Science and will be evaluating and optimizing user experience in the virtual world.

Your responsibilities:
Develop innovative approaches to measuring user behavior and evaluating performance in the virtual environment
Collaborate with partners such as Engineering and Solutions teams to instrument the data collection process and build ETL pipelines to obtain data required for your analyses
Implement approaches and communicate insights in a compelling narrative
Incorporate your research outcomes into the data product offering
Minimum Qualifications:
5+ years of industry experience as a Data Scientist
An advanced degree in a quantitative field (e.g Economics, Statistics, Sciences, Engineering)
Experience developing and implementing in-depth approaches, including statistical and econometric analyses and/or ML models
Experience building ETL pipelines
Proficiency with Python (or R), and SQL
Strong communication skills
Passion for using data to improve immersive experiences",Staff Data Scientist,"Palo Alto, CA",4.6,Unknown / Non-Applicable,$85K-$135K (Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
